"Archived - International merchandise trade by commodity, monthly, inactive (x 1,000,000) 1 2 3 4"
"Frequency: Monthly"
"Table: 12-10-0121-01"
"Release date: 2023-11-07"
"Geography: Canada"
""
""

,,"North American Product Classification System (NAPCS) 2","Basic and semi-finished iron and steel products  [312]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trade","Basis","Seasonal adjustment","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020"
,,,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Import","Customs","Unadjusted","866.3","765.2","759.0","833.3","849.7","751.9","711.5","821.9","840.0","808.4","856.3","746.8","849.5","754.1","919.5","1,012.1","1,237.4","1,080.0","887.1","1,078.0","962.4","999.1","988.4","839.3","961.6","886.6","1,051.5","1,106.4","1,109.8","1,331.4","999.7","1,096.4","1,134.1","1,025.8","976.3","884.8","943.1","813.9","998.2","935.6","1,056.7","940.4","844.8","968.4","801.3","910.1","807.2","739.0","802.9","806.4","836.4","648.6","625.9","717.0","670.3","662.4","755.0","788.5","776.6","683.4"
,,"Seasonally adjusted","858.1","854.7","750.3","752.1","803.0","732.6","738.6","777.5","840.6","792.2","852.3","858.4","878.0","854.8","872.8","947.0","1,151.7","1,024.5","936.3","1,021.0","990.0","983.7","983.1","964.2","954.5","978.9","1,032.0","1,030.4","1,026.7","1,330.5","1,043.5","1,050.9","1,178.1","983.7","958.6","996.6","944.3","918.7","999.5","859.7","979.7","945.7","863.7","913.0","815.1","867.0","815.8","836.7","811.1","883.5","830.0","571.8","588.6","686.2","688.0","627.6","747.8","779.3","798.1","761.2"
,"Balance of payments","Unadjusted","862.4","762.4","756.2","829.3","845.7","749.3","708.8","818.6","836.2","804.9","851.9","743.1","846.6","751.9","916.4","1,008.3","1,232.7","1,075.2","883.2","1,073.1","958.2","994.7","984.1","835.4","957.5","883.1","1,047.4","1,101.1","1,104.8","1,326.1","993.9","1,089.7","1,126.8","1,019.7","970.6","879.0","937.0","808.7","991.4","929.1","1,048.8","934.3","839.5","962.0","796.9","904.2","802.2","733.6","797.2","801.0","828.8","640.9","618.7","711.3","663.7","654.9","746.6","782.7","770.5","678.4"
,,"Seasonally adjusted","896.4","840.9","731.4","743.2","790.7","717.7","754.7","766.2","830.1","817.0","834.0","846.8","871.7","850.9","871.7","946.2","1,153.8","1,021.7","927.2","1,024.3","984.9","980.2","974.9","952.6","950.5","973.6","1,027.5","1,026.4","1,021.8","1,325.6","1,036.2","1,046.1","1,169.4","977.9","953.2","991.7","934.3","913.6","984.2","872.1","960.6","950.5","858.4","914.9","804.6","859.3","807.7","827.6","804.4","874.6","819.9","565.1","584.5","683.4","686.0","618.0","748.5","770.2","786.3","753.6"
"Export","Customs","Unadjusted","590.7","528.3","549.4","503.6","575.3","569.5","530.1","608.6","540.9","581.5","584.7","509.5","622.0","609.5","740.0","683.9","754.9","695.2","613.9","656.9","632.5","684.8","676.9","587.7","671.3","661.3","883.4","905.7","911.4","609.3","617.4","676.3","611.0","648.5","613.3","575.6","619.5","531.3","573.0","508.7","505.2","531.2","580.4","613.8","681.0","655.1","508.2","550.5","617.3","573.4","668.9","395.0","345.2","434.0","481.0","489.2","499.3","522.1","490.0","530.0"
,,"Seasonally adjusted","626.3","537.6","476.2","492.9","532.9","539.1","564.9","592.3","545.1","594.1","597.9","572.8","624.5","648.1","648.4","679.6","682.5","678.7","645.1","629.8","670.5","673.0","692.1","685.6","671.4","707.5","821.1","857.6","827.3","626.2","637.5","673.7","640.4","630.5","637.7","653.5","602.3","561.8","524.2","474.7","469.8","539.4","591.7","626.7","687.6","625.1","556.5","598.1","608.3","612.3","597.8","374.4","350.8","430.5","485.0","487.3","482.4","520.5","537.5","558.9"
,"Balance of payments","Unadjusted","605.0","538.3","562.0","517.1","586.9","585.0","543.6","621.4","561.7","602.1","610.0","531.3","642.0","627.4","757.9","702.0","777.1","718.0","634.4","677.6","650.5","704.8","696.1","603.8","685.0","671.8","897.4","919.7","924.8","624.4","636.2","693.0","630.6","666.3","628.5","588.6","621.1","533.9","575.4","509.2","506.5","533.5","579.6","612.0","679.3","655.3","509.4","550.3","615.4","571.9","667.1","396.7","347.6","436.1","481.6","491.4","501.5","523.1","490.8","532.0"
,,"Seasonally adjusted","642.7","549.3","488.5","506.1","545.3","553.0","578.5","608.6","564.4","613.0","620.8","594.5","659.1","670.3","668.2","710.7","703.0","684.9","678.7","655.5","665.7","698.4","709.1","688.0","684.9","719.0","833.9","872.6","837.0","642.0","661.7","687.3","660.7","643.8","659.5","663.9","608.2","565.0","527.2","479.5","466.5","542.9","593.7","624.4","683.4","622.1","556.8","595.7","606.0","609.8","597.5","378.0","355.8","435.6","492.0","489.5","478.7","520.1","534.9","557.7"




Footnotes:
1,"This cube replaces archived cube 12-10-0001-01."
2,"For more information related to the North American Product Classification System (NAPCS) 2017, please use the following <a href="http://www.statcan.gc.ca/eng/subjects/standard/napcs/2017/index">hyperlink</a>."
3,"The "C" added to North American Product Classification System (NAPCS) 2017 groups 481-Published products and recorded media (except software) and 482-Software and software licensing is to notify that the International trade variant of NAPCS 2017 only classifies merchandise goods and not services."
4,"On December 6, 2023, this table was archived and replaced by table 12100163."



"How to cite: Statistics Canada. Table 12-10-0121-01  International merchandise trade by commodity, monthly, inactive (x 1,000,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1210012101
