"Canadian international merchandise trade by principal trading partner, and by product section and group, customs-based, annual (x 1,000) 1 2 3 4 5"
"Frequency: Annual"
"Table: 12-10-0172-01"
"Release date: 2025-08-05"
"Geography: Canada"
""
""

,"Principal trading partner 6","United States",,,,
"Trade","North American Product Classification System (NAPCS) 2 3 4","2016","2017","2018","2019","2020"
,,"Dollars",,,,
"Export","All sections","394,183,484.9","414,184,326.9","437,847,600.5","446,078,296.2","383,045,502.5"
,"Farm, fishing and intermediate food products","16,928,979.9","17,046,790.9","17,313,161.6","17,636,722.1","17,981,208.9"
,"Live animals","2,136,416.3","1,846,676.2","1,673,684.6","1,934,695.4","1,788,975.0"
,"Wheat","560,406.6","891,098.9","1,030,176.3","555,693.9","579,746.4"
,"Canola (including rapeseed)","272,546.5","290,785.4","306,489.7","247,376.2","267,342.7"
,"Fresh fruit, nuts and vegetables, and pulse crops","2,488,675.1","2,602,822.7","2,833,031.8","2,903,329.1","3,277,322.1"
,"Other crop products","2,441,040.9","2,366,812.8","2,460,065.6","2,584,892.1","2,734,375.6"
,"Other animal products","236,072.6","177,032.0","129,428.6","114,720.1","103,427.4"
,"Fish, crustaceans, shellfish and other fishery products","3,084,691.8","3,181,483.1","3,200,160.9","3,481,079.4","3,098,723.1"
,"Animal feed","564,415.2","531,672.1","559,238.9","592,220.6","646,325.7"
,"Intermediate food products","5,144,714.9","5,158,407.8","5,120,885.4","5,222,715.3","5,484,971.0"
,"Energy products","72,424,662.8","94,789,588.2","109,763,393.8","112,844,626.3","79,290,916.4"
,"Crude oil and bitumen","52,180,589.9","69,927,127.5","84,172,812.4","89,054,066.8","62,514,821.0"
,"Natural gas","8,661,616.9","10,317,171.0","9,653,484.7","8,989,247.3","6,798,819.1"
,"Natural gas liquids (including condensate) and related products","1,347,585.0","2,259,765.9","2,665,502.7","2,096,283.4","1,477,056.4"
,"Coal","114,978.8","227,334.9","195,749.5","203,561.1","81,048.8"
,"Nuclear fuel and other energy products","810,612.6","851,550.7","588,533.1","507,459.8","135,667.0"
,"Electricity","2,914,076.7","2,935,971.2","2,911,969.0","2,511,988.6","2,564,129.2"
,"Refined petroleum energy products (including liquid biofuels)","6,395,203.0","8,270,667.2","9,575,342.3","9,482,019.4","5,719,374.9"
,"Metal ores and non-metallic minerals","3,877,133.9","4,271,923.2","4,742,369.6","4,851,546.4","4,647,014.5"
,"Iron ores and concentrates","68,947.7","129,743.7","128,074.3","259,105.5","237,542.9"
,"Copper ores and concentrates","207,518.0","98,554.7","73,364.8","8,950.1","63,722.7"
,"Nickel ores and concentrates","0.0","0.0","23.3","0.0","0.0"
,"Radioactive ores and concentrates","10,007.6","15,817.0","75,197.8","72,083.0","0.0"
,"Other metal ores and concentrates","209,281.7","236,985.1","283,294.6","261,122.4","210,367.7"
,"Potash","2,429,291.2","2,786,330.0","3,088,753.5","3,137,605.3","2,915,977.3"
,"Stone, sand, gravel, clay, and refractory minerals","381,684.2","421,976.3","427,817.9","441,496.0","415,961.1"
,"Diamonds and other non-metallic minerals (except cut gemstones)","570,403.6","582,516.4","665,843.6","671,184.0","803,442.9"
,"Metal and non-metallic mineral products","33,085,270.2","36,424,355.2","37,067,830.8","34,748,677.7","34,002,476.9"
,"Unwrought iron, steel and ferro-alloys","354,519.0","488,972.4","474,150.8","581,247.4","369,149.0"
,"Basic and semi-finished iron or steel products","5,886,604.6","7,177,944.0","7,576,133.9","6,175,735.8","5,577,874.8"
,"Unwrought aluminum and aluminum alloys","5,661,742.5","7,152,257.7","6,762,139.2","6,041,552.5","6,050,924.4"
,"Unwrought copper and copper alloys","1,307,614.1","1,751,988.4","1,564,870.3","1,198,309.6","1,298,255.6"
,"Unwrought nickel and nickel alloys","766,511.6","773,089.6","791,245.1","961,304.6","1,020,085.0"
,"Unwrought gold, silver, and platinum group metals, and their alloys","5,807,233.4","4,435,798.6","3,016,119.7","4,162,791.1","5,434,977.0"
,"Other unwrought non-ferrous metals and non-ferrous metal alloys","2,210,018.7","2,383,539.0","3,055,834.8","2,725,000.6","2,098,418.8"
,"Basic and semi-finished products of non-ferrous metals and non-ferrous metal alloys (except aluminum)","1,971,129.3","1,999,692.9","2,584,818.3","2,683,772.7","2,497,079.6"
,"Basic and semi-finished products of aluminum and aluminum alloys","1,558,564.2","1,738,797.4","1,735,806.4","1,271,902.8","1,290,621.5"
,"Fabricated metal products","3,321,509.1","3,444,668.5","3,852,728.7","3,976,484.6","3,562,153.3"
,"Non-metallic mineral products","1,869,905.5","1,887,644.3","1,977,937.7","1,973,156.6","1,783,424.0"
,"Waste and scrap of metal","2,350,463.6","3,173,617.0","3,663,783.7","2,980,166.5","3,000,827.0"
,"Waste and scrap of glass","19,454.5","16,345.6","12,262.5","17,252.8","18,686.6"
,"Basic and industrial chemical, plastic and rubber products","25,825,264.4","27,395,173.9","29,106,325.6","28,643,326.5","25,314,395.0"
,"Dyes and pigments, and petrochemicals","2,339,092.1","2,922,896.1","3,557,353.4","3,024,572.8","2,676,731.6"
,"Lubricants and other petroleum refinery products","4,116,397.4","5,132,676.2","5,011,066.0","5,782,571.0","3,828,431.9"
,"Basic chemicals","4,413,065.2","4,549,899.4","4,921,378.7","4,930,918.3","4,579,004.0"
,"Fertilizers, pesticides and other chemical products","3,208,005.4","2,782,138.4","2,668,287.9","2,714,311.4","2,808,131.8"
,"Plastic resins","6,544,091.5","6,509,615.1","7,128,686.1","6,387,690.6","5,770,261.0"
,"Plastic and rubber basic products not for packaging use (except plastic resins)","2,811,555.7","2,911,012.6","3,078,183.0","3,152,868.5","3,096,824.9"
,"Plastic and rubber finished products","2,303,800.3","2,492,447.1","2,653,873.5","2,554,056.8","2,463,273.5"
,"Waste and scrap of plastic and rubber","89,256.8","94,489.0","87,497.2","96,337.2","91,736.5"
,"Forestry products and building and packaging materials","31,472,982.5","32,080,373.2","33,513,231.8","31,235,079.7","33,709,208.1"
,"Logs, pulpwood and other forestry products","120,459.3","119,818.5","124,181.6","123,093.1","114,525.4"
,"Pulp and paper","7,318,522.2","7,060,813.6","7,879,067.7","7,402,374.2","6,364,173.0"
,"Lumber and other sawmill products","11,958,865.6","12,569,307.3","12,514,718.1","10,292,262.7","13,651,711.2"
,"Asphalt (except natural) and asphalt products","374,560.7","393,296.4","419,091.4","426,260.7","466,966.6"
,"Wood millwork, and wood products not elsewhere classified","1,125,137.1","1,132,298.4","1,156,498.9","1,182,751.8","1,213,306.1"
,"Paints, coatings, and adhesive products","735,595.1","744,836.8","818,806.1","862,129.4","787,096.3"
,"Plastic and foam building and construction materials","1,038,120.3","1,059,432.7","1,124,187.9","1,166,750.4","1,296,824.7"
,"Cement, lime and gypsum products","675,004.8","755,271.9","883,010.1","901,673.1","856,812.0"
,"Metal building and construction materials","2,533,199.4","2,645,003.5","2,832,849.2","2,941,668.8","2,910,290.6"
,"Prefabricated buildings and components thereof","202,370.9","187,569.4","225,339.3","290,169.9","237,236.6"
,"Packaging materials","5,187,552.8","5,153,779.4","5,285,859.3","5,463,771.3","5,626,310.3"
,"Waste and scrap of wood, wood by-products, paper and paperboard","203,594.4","258,945.4","249,622.3","182,174.2","183,955.4"
,"Industrial machinery, equipment and parts","22,707,347.4","24,812,163.1","26,448,459.2","27,525,338.9","24,412,243.5"
,"Agricultural, lawn and garden machinery and equipment","469,735.9","491,579.4","582,130.2","662,723.2","715,235.8"
,"Logging, construction, mining, and oil and gas field machinery and equipment","1,398,237.3","1,467,130.1","1,556,755.2","1,592,459.4","1,450,028.9"
,"Metalworking machinery","323,096.7","353,638.7","312,853.7","314,513.7","258,118.0"
,"Commercial and service industry machinery and equipment","1,244,304.3","1,438,060.5","1,537,036.0","1,630,463.2","1,598,263.9"
,"Other industry-specific manufacturing machinery, not elsewhere classified","2,327,294.0","2,478,237.2","2,675,734.8","2,698,512.0","2,457,333.5"
,"Heating, cooling and air purification equipment","1,389,940.1","1,527,874.4","1,692,494.8","1,954,264.2","2,011,134.3"
,"Other general-purpose machinery and equipment, not elsewhere classified","9,412,207.3","10,554,221.7","10,930,808.4","11,304,350.5","9,388,020.1"
,"Parts of industrial machinery and equipment","6,142,531.8","6,501,421.1","7,160,646.2","7,368,052.7","6,534,109.1"
,"Electronic and electrical equipment and parts","17,131,428.1","17,290,037.2","17,586,310.3","17,548,045.1","15,332,171.6"
,"Computers and computer peripherals","1,539,951.3","1,619,062.7","1,653,948.8","1,734,203.9","1,562,856.5"
,"Communication, and audio and video equipment","3,908,715.0","3,948,109.3","3,972,546.7","3,729,532.5","3,032,439.1"
,"Medical, measuring, and other electronic and electrical machinery and equipment","4,297,491.0","4,962,165.7","4,908,368.2","4,875,770.0","4,141,496.3"
,"Electronic and electrical parts","3,987,109.9","2,993,426.4","3,095,248.7","3,223,012.7","2,843,303.4"
,"Electrical components","3,398,160.9","3,767,273.2","3,956,197.9","3,985,526.0","3,752,076.4"
,"Motor vehicles and parts","86,275,952.0","81,636,663.8","77,912,353.5","79,718,170.4","60,729,736.8"
,"Passenger cars and light trucks","62,551,315.1","58,776,753.9","53,365,861.6","55,124,921.3","40,636,485.6"
,"Medium and heavy trucks, buses, and other motor vehicles","2,812,878.5","3,073,187.6","3,665,663.7","3,942,036.1","2,867,228.8"
,"Tires","2,227,147.7","2,142,993.7","2,153,997.1","2,228,109.5","1,801,810.8"
,"Motor vehicle engines and motor vehicle parts","18,684,610.6","17,643,728.6","18,726,831.0","18,423,103.4","15,424,211.5"
,"Aircraft and other transportation equipment and parts","11,827,055.3","11,439,276.3","12,539,979.4","14,373,185.6","12,495,804.3"
,"Aircraft","4,131,723.0","3,294,624.0","3,480,887.7","4,969,680.5","5,146,010.9"
,"Aircraft engines, aircraft parts and other aerospace equipment","6,544,697.2","7,100,579.5","7,872,733.0","8,263,384.1","6,166,111.3"
,"Ships, locomotives, railway rolling stock, and rapid transit equipment","31,150.8","60,326.7","63,948.6","39,832.0","31,222.6"
,"Boats and other transportation equipment","906,036.7","784,358.7","893,921.9","872,884.8","968,744.9"
,"Parts of railway rolling stock and of other transportation equipment","213,447.7","199,387.4","228,488.2","227,404.2","183,714.7"
,"Consumer goods","48,392,230.3","44,433,960.7","47,667,588.7","50,890,683.3","50,727,498.0"
,"Prepared and packaged seafood products","1,211,456.5","1,133,613.3","1,081,497.1","1,103,377.6","1,063,961.7"
,"Meat products","3,876,099.2","3,859,017.3","3,988,395.4","4,336,475.5","4,572,629.9"
,"Dairy products","132,863.5","171,603.0","162,844.0","206,129.4","241,280.0"
,"Other food products","10,697,180.6","11,022,902.2","11,887,406.8","12,851,165.8","13,276,729.5"
,"Coffee and tea","770,554.0","839,166.8","660,347.8","674,321.9","658,792.9"
,"Frozen, fresh and canned fruit and vegetable juices","92,783.7","99,772.8","101,995.9","102,771.6","130,458.8"
